               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040167,            0.022211,           0.0040397,             0.66236,             0.64046,               0.661,             0.33829,            0.039725,           0.0099639,           0.0028106,            0.008845,            0.008845,            0.008845
                  37,            0.039941,            0.022572,           0.0039812,             0.68209,             0.63256,             0.66518,             0.34095,            0.039202,           0.0099372,           0.0028621,            0.008812,            0.008812,            0.008812
                  38,            0.039937,            0.022386,            0.003937,             0.67675,             0.63458,             0.66718,             0.33676,            0.038964,            0.009917,           0.0026336,            0.008779,            0.008779,            0.008779
                  39,            0.039762,            0.022338,           0.0036745,              0.6865,             0.63843,              0.6816,             0.35279,            0.038852,           0.0097644,           0.0025213,            0.008746,            0.008746,            0.008746
                  40,            0.039698,            0.022302,           0.0034123,             0.68211,             0.65059,             0.66985,             0.34684,            0.038459,           0.0098741,           0.0026334,            0.008713,            0.008713,            0.008713
                  41,            0.039528,            0.022182,           0.0038228,             0.67058,             0.64467,             0.65956,             0.33514,            0.038899,           0.0099691,           0.0024978,             0.00868,             0.00868,             0.00868
                  42,            0.039335,            0.022043,           0.0037065,             0.70046,             0.65159,             0.69217,             0.35938,            0.038194,           0.0097594,           0.0025945,            0.008647,            0.008647,            0.008647
                  43,            0.039286,            0.022038,           0.0040079,             0.69944,              0.6464,             0.68235,             0.35671,            0.039065,            0.009775,           0.0025954,            0.008614,            0.008614,            0.008614
                  44,            0.039209,             0.02213,           0.0036614,             0.68328,             0.65896,             0.67999,             0.35351,            0.038168,           0.0097296,           0.0025052,            0.008581,            0.008581,            0.008581
                  45,            0.038632,            0.021949,           0.0035937,             0.69233,             0.63132,             0.67211,             0.35193,            0.038023,            0.010017,           0.0028274,            0.008548,            0.008548,            0.008548
                  46,            0.038761,            0.022183,           0.0034927,              0.7061,             0.64783,             0.68792,             0.35671,             0.03863,           0.0097874,           0.0027981,            0.008515,            0.008515,            0.008515
                  47,            0.038848,            0.021901,           0.0038269,             0.70584,             0.65024,             0.69131,             0.36526,              0.0381,            0.009813,           0.0024671,            0.008482,            0.008482,            0.008482
                  48,            0.038614,            0.021832,            0.003569,             0.71867,             0.65744,             0.70014,             0.36873,             0.03839,           0.0097435,           0.0024085,            0.008449,            0.008449,            0.008449
                  49,             0.03838,             0.02153,           0.0034947,             0.68035,             0.65106,             0.68103,             0.35723,            0.037786,           0.0099394,           0.0024225,            0.008416,            0.008416,            0.008416
                  50,            0.038681,            0.021942,           0.0035722,             0.70997,             0.65014,              0.6977,             0.37677,            0.037567,            0.009632,           0.0025439,            0.008383,            0.008383,            0.008383
                  51,            0.038505,            0.021676,           0.0035282,             0.72371,             0.67143,             0.70547,             0.38134,            0.037629,           0.0096216,           0.0025354,             0.00835,             0.00835,             0.00835
